it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText1,trendingText2,RegistrationYear,InsuranceValidity,FuelType,Seats,KmsDriven,RTO,Ownership,EngineDisplacement,Transmission,YearofManufacture,Top_features,Comfort,Interior,Exterior,Safety,Mileage,Engine,Max_Power,Torque,WheelSize,Seats,Color,EngineType,Displacement,MaxPower,MaxTorque,NoofCylinder,ValuesperCylinder,ValueConfiguration,FuelSupplySystem,BoreXStroke,CompressionRatio,TurboCharger,SuperCharger,Length,Width,Height,WheelBase,FrontTread,RearTread,KerbWeight,GrossWeight,GearBox,DriveType,SeatingCapacity,SteeringType,TurningRadius,FrontBrakeType,RearBrakeType,TopSpeed,Acceleration,TyreType,NoDoorNumbers,CargoVolumn,city
0,Diesel,SUV,"10,000",Automatic,1,1st Owner,Kia,Kia Seltos,2022,7121,GTX Plus Diesel AT,₹ 19 Lakh,,,,Trending Car!,High chances of sale in next 6 days,2022,Third Party insurance,Diesel,5 Seats,"10,000 Kms",,First Owner,1493 cc,Automatic,2022,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Adjustable Head Lights', 'Fog Lights Front', 'Anti Lock Braking System', 'Brake Assist', 'Radio')","('Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Air Quality Control', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Trunk Light', 'Rear Reading Lamp', 'Rear Seat Headrest', 'Rear Seat Centre Arm Rest', 'Height Adjustable Front Seat Belts', 'Cup Holders Rear', 'Seat Lumbar Support', 'Multifunction Steering Wheel', 'Cruise Control', 'Rear ACVents', 'Navigation System', 'Smart Access Card Entry', 'Engine Start Stop Button', 'Voice Control', 'Steering Wheel Gearshift Paddles', 'Drive Modes', 'Remote Engine Start Stop', 'Adjustable Headrest')","('Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Leather Seats', 'Leather Steering Wheel', 'Glove Compartment', 'Digital Clock', 'Driving Experience Control Eco', 'Height Adjustable Driver Seat', 'Ventilated Seats', 'Leather Wrap Gear Shift Selector')","('Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Electric Folding Rear View Mirror', 'Rain Sensing Wiper', 'Rear Window Wiper', 'Rear Window Washer', 'Rear Window Defogger', 'Alloy Wheels', 'Integrated Antenna', 'Rear Spoiler', 'Sun Roof', 'Moon Roof', 'Outside Rear View Mirror Turn Indicators', 'Chrome Garnish', 'Roof Rail', 'LEDDRLs', 'LEDHeadlights', 'LEDTaillights', 'LEDFog Lamps')","('Anti Lock Braking System', 'Brake Assist', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Side Air Bag Front', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Rear Seat Belts', 'Seat Belt Warning', 'Vehicle Stability Control System', 'Traction Control', 'Adjustable Seats', 'Keyless Entry', 'Engine Immobilizer', 'Engine Check Warning', 'Tyre Pressure Monitor', 'Crash Sensor', 'Automatic Head Lamps', 'Ebd', 'Follow Me Home Headlamps', 'Rear Camera', 'Anti Pinch Power Windows', 'Speed Sensing Auto Door Lock', 'Isofix Child Seat Mounts', 'Heads Up Display', 'Pretensioners And Force Limiter Seatbelts', 'Blind Spot Monitor', 'Hill Assist', 'View360Camera', 'No Of Airbags', 'Eletronic Stability Control')",18 kmpl,1493 CC,113.43bhp,250Nm,17,5,Gray,1.5 L CRDi VGT,1493,113.43bhp@4000rpm,250Nm@1500-2750rpm,4.0,4.0,,CRDi,,,Yes,,4315mm,1800mm,1645mm,2610mm,,,1540,,6-Speed,FWD,5,Electric,,Disc,Disc,,,"Tubeless, Radial",5,433,delhi
0,Petrol,SUV,"57,437",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2016,1449,1.6 VTVT S,₹ 7.62 Lakh,,,,Trending Car!,High chances of sale in next 6 days,May 2016,Zero Dep,Petrol,5 Seats,"57,437 Kms",HR51,Second Owner,1591 cc,Manual,2016,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Adjustable Head Lights', 'Fog Lights Front', 'Anti Lock Braking System', 'Centeral Locking', 'Cd Player')","('Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Remote Trunk Opener', 'Remote Fuel Lid Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Trunk Light', 'Vanity Mirror', 'Rear Seat Headrest', 'Rear Seat Centre Arm Rest', 'Cup Holders Front', 'Cup Holders Rear', 'Multifunction Steering Wheel', 'Rear ACVents')","('Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Digital Clock', 'Height Adjustable Driver Seat')","('Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Rear Window Defogger', 'Power Antenna', 'Tinted Glass', 'Outside Rear View Mirror Turn Indicators', 'Smoke Headlamps', 'Roof Rail')","('Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Anti Theft Alarm', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Side Impact Beams', 'Front Impact Beams', 'Adjustable Seats', 'Keyless Entry', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Crash Sensor', 'Ebd', 'Follow Me Home Headlamps', 'Anti Theft Device')",15.29 kmpl,1591 CC,121.3bhp,151Nm,,5,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,DOHC,MPFI,,,No,No,4270mm,1780mm,1630mm,2590mm,,,"1,310",,6 Speed,FWD,5,Power,5.3 metres,Disc,Drum,165 Kmph,10.5 Seconds,Tubeless,5,400-litres,delhi
0,Petrol,SUV,"8,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz GLC,2020,6837,200,₹ 56 Lakh,,,,Trending Car!,High chances of sale in next 6 days,Dec 2020,Comprehensive,Petrol,5 Seats,"8,000 Kms",DL01,First Owner,1991 cc,Automatic,2020,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Adjustable Head Lights', 'Fog Lights Front', 'Anti Lock Braking System', 'Brake Assist', 'Radio')","('Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Air Quality Control', 'Remote Trunk Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Trunk Light', 'Vanity Mirror', 'Rear Reading Lamp', 'Rear Seat Headrest', 'Rear Seat Centre Arm Rest', 'Height Adjustable Front Seat Belts', 'Cup Holders Front', 'Cup Holders Rear', 'Seat Lumbar Support', 'Multifunction Steering Wheel', 'Cruise Control', 'Rear ACVents', 'Navigation System', 'Smart Access Card Entry', 'Engine Start Stop Button', 'Glove Box Cooling', 'Voice Control', 'Tailgate Ajar', 'Luggage Hook And Net', 'Lane Change Indicator', 'Drive Modes', 'Remote Engine Start Stop', 'Remote Climate Control', 'Adjustable Headrest')","('Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Leather Seats', 'Leather Steering Wheel', 'Glove Compartment', 'Digital Clock', 'Outside Temperature Display', 'Cigarette Lighter', 'Driving Experience Control Eco', 'Height Adjustable Driver Seat')","('Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Electric Folding Rear View Mirror', 'Rain Sensing Wiper', 'Rear Window Washer', 'Rear Window Defogger', 'Alloy Wheels', 'Integrated Antenna', 'Sun Roof', 'Moon Roof', 'Side Stepper', 'Outside Rear View Mirror Turn Indicators', 'Chrome Grille', 'Chrome Garnish', 'Smoke Headlamps')","('Anti Lock Braking System', 'Brake Assist', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Anti Theft Alarm', 'Driver Air Bag', 'Passenger Air Bag', 'Side Air Bag Front', 'Side Air Bag Rear', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Side Impact Beams', 'Front Impact Beams', 'Vehicle Stability Control System', 'Traction Control', 'Adjustable Seats', 'Keyless Entry', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Engine Check Warning', 'Tyre Pressure Monitor', 'Crash Sensor', 'Ebd', 'Follow Me Home Headlamps', 'Rear Camera', 'Anti Theft Device', 'Anti Pinch Power Windows', 'Speed Sensing Auto Door Lock', 'Knee Airbags', 'Isofix Child Seat Mounts', 'Heads Up Display', 'Pretensioners And Force Limiter Seatbelts', 'Hill Descent Control', 'Hill Assist', 'Impact Sensing Auto Door Lock', 'View360Camera', 'No Of Airbags', 'Eletronic Stability Control')",12.74 kmpl,1991 CC,197bhp,320nm,19,5,Grey,M 264 petrol engine,1991,197bhp@5500-6100rpm,320nm@1650-4000rpm,4.0,4.0,,EFI,,,No,,4658mm,1890mm,1644mm,2873mm,,,1585,2360kg,9 speed Tronic,AWD,5,Power,,Disc,Disc,217 Kmph,,"Tubeless,Radial",5,550-litres,delhi
0,Petrol,Hatchback,"28,151",Manual,2,2nd Owner,Maruti,Maruti Swift,2018,10403,VXI,₹ 5.23 Lakh,,,,Trending Car!,High chances of sale in next 6 days,Jan 2019,Comprehensive,Petrol,5 Seats,"28,151 Kms",DL4C,Second Owner,1197 cc,Manual,2018,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Adjustable Head Lights', 'Power Adjustable Exterior Rear View Mirror', 'Anti Lock Braking System', 'Brake Assist', 'Radio')","('Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Vanity Mirror', 'Rear Seat Headrest', 'Multifunction Steering Wheel', 'Gear Shift Indicator', 'Adjustable Headrest', 'Power Boot')","('Air Conditioner', 'Heater', 'Adjustable Steering', 'Tachometer', 'Fabric Upholstery', 'Glove Compartment', 'Height Adjustable Driver Seat')","('Adjustable Head Lights', 'Power Adjustable Exterior Rear View Mirror', 'Wheel Covers', 'Power Antenna', 'Outside Rear View Mirror Turn Indicators', 'LEDTaillights', 'Halogen Headlamps')","('Anti Lock Braking System', 'Brake Assist', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Anti Theft Alarm', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Adjustable Seats', 'Keyless Entry', 'Engine Immobilizer', 'Engine Check Warning', 'Crash Sensor', 'Ebd', 'Speed Sensing Auto Door Lock', 'Isofix Child Seat Mounts', 'Pretensioners And Force Limiter Seatbelts', 'Speed Alert', 'No Of Airbags', 'Eletronic Stability Control')",22.38 kmpl,1197 CC,88.50bhp,113Nm,,5,Silver,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,3845mm,1735,1530,2450,1530,1530,875-905,1335,5-Speed,,5,Electric,4.8,Disc,Drum,,,"Radial, Tubeless",5,268,delhi
0,Petrol,SUV,"60,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2017,5362,1.6 VTVT E Plus,₹ 7.65 Lakh,,,,Trending Car!,High chances of sale in next 6 days,2017,Third Party insurance,Petrol,5 Seats,"60,000 Kms",DL8C,First Owner,1591 cc,Manual,2017,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Adjustable Head Lights', 'Power Adjustable Exterior Rear View Mirror', 'Anti Lock Braking System', 'Centeral Locking', 'Cd Player')","('Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Remote Trunk Opener', 'Remote Fuel Lid Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Trunk Light', 'Vanity Mirror', 'Rear Seat Headrest', 'Cup Holders Front', 'Multifunction Steering Wheel', 'Rear ACVents', 'Gear Shift Indicator', 'Battery Saver', 'Lane Change Indicator')","('Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Digital Clock')","('Adjustable Head Lights', 'Power Adjustable Exterior Rear View Mirror', 'Wheel Covers', 'Integrated Antenna', 'Tinted Glass', 'Outside Rear View Mirror Turn Indicators', 'Smoke Headlamps', 'Roof Rail')","('Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Side Impact Beams', 'Front Impact Beams', 'Adjustable Seats', 'Keyless Entry', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Crash Sensor', 'Ebd', 'Follow Me Home Headlamps', 'Anti Theft Device', 'Impact Sensing Auto Door Lock')",15.29 kmpl,1591 CC,121.3bhp,151Nm,,5,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,DOHC,MPFI,,,No,No,4270mm,1780mm,1630mm,2590mm,,,"1,300",,6 Speed,FWD,5,Power,5.3 metres,Disc,Drum,165 Kmph,10.5 Seconds,Tubeless,5,400-litres,delhi
0,Petrol,SUV,"20,000",Manual,1,1st Owner,Kia,Kia Sonet,2021,8000,HTK Plus BSVI,₹ 8.95 Lakh,,,,Trending Car!,High chances of sale in next 6 days,Jun 2021,Comprehensive,Petrol,5 Seats,"20,000 Kms",DL9X,First Owner,1197 cc,Manual,2021,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Adjustable Head Lights', 'Fog Lights Front', 'Anti Lock Braking System', 'Centeral Locking', 'Radio')","('Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Rear Reading Lamp', 'Rear Seat Headrest', 'Multifunction Steering Wheel', 'Rear ACVents', 'Gear Shift Indicator', 'Battery Saver', 'Adjustable Headrest')","('Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Digital Clock', 'Height Adjustable Driver Seat')","('Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Electric Folding Rear View Mirror', 'Rear Window Defogger', 'Wheel Covers', 'Integrated Antenna', 'Tinted Glass', 'Rear Spoiler', 'Outside Rear View Mirror Turn Indicators', 'Chrome Grille', 'Roof Rail', 'Halogen Headlamps')","('Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Side Air Bag Front', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Adjustable Seats', 'Keyless Entry', 'Engine Check Warning', 'Crash Sensor', 'Automatic Head Lamps', 'Ebd', 'Follow Me Home Headlamps', 'Rear Camera', 'Anti Pinch Power Windows', 'Speed Sensing Auto Door Lock', 'Isofix Child Seat Mounts', 'Pretensioners And Force Limiter Seatbelts', 'Impact Sensing Auto Door Lock', 'No Of Airbags')",18.4 kmpl,1197 CC,81.86bhp,115Nm,,5,White,SMARTSTREAM G1.2,1197,81.86bhp@6000rpm,115Nm@4200rpm,4.0,4.0,,MPI,,,No,,3995mm,1790,1642,2500,,,1192,,5-Speed,FWD,5,Electric,,Disc,Drum,,,"Tubeless, Radial",5,392,delhi
0,Cng,Sedan,"42,682",Manual,1,1st Owner,Hyundai,Hyundai Aura,2021,7333,S CNG,₹ 7.08 Lakh,,,,Trending Car!,High chances of sale in next 6 days,May 2022,Third Party,CNG,5 Seats,"42,682 Kms",UP14,First Owner,1197 cc,Manual,2021,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Adjustable Head Lights', 'Power Adjustable Exterior Rear View Mirror', 'Anti Lock Braking System', 'Centeral Locking', 'Radio')","('Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Rear Reading Lamp', 'Rear Seat Headrest', 'Rear Seat Centre Arm Rest', 'Cup Holders Rear', 'Multifunction Steering Wheel', 'Rear ACVents', 'Glove Box Cooling', 'Tailgate Ajar', 'Gear Shift Indicator', 'Adjustable Headrest')","('Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Digital Clock', 'Height Adjustable Driver Seat', 'Dual Tone Dashboard')","('Adjustable Head Lights', 'Power Adjustable Exterior Rear View Mirror', 'Rear Window Defogger', 'Wheel Covers', 'Power Antenna', 'Chrome Garnish', 'LEDDRLs', 'LEDTaillights', 'Halogen Headlamps')","('Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Seat Belt Warning', 'Door Ajar Warning', 'Adjustable Seats', 'Keyless Entry', 'Engine Immobilizer', 'Engine Check Warning', 'Crash Sensor', 'Ebd', 'Speed Sensing Auto Door Lock', 'Isofix Child Seat Mounts', 'Pretensioners And Force Limiter Seatbelts', 'Impact Sensing Auto Door Lock', 'Speed Alert', 'No Of Airbags')",28 km/kg,1197 CC,68.05bhp,95.2nm,,5,White,1.2 l Bi-fuel,1197,68.05bhp@6000rpm,95.2nm@4000rpm,4.0,4.0,,,,,No,,3995mm,1680,1520,2450,,,1090,,5-Speed,,5,Electric,,Disc,Drum,,,"Tubeless,Radial",4,,delhi
0,Petrol,Hatchback,"44,653",Manual,1,1st Owner,Volkswagen,Volkswagen Polo,2017,1945,1.2 MPI Trendline,₹ 4 Lakh,,,,Trending Car!,High chances of sale in next 6 days,Sept 2017,Comprehensive,Petrol,5 Seats,"44,653 Kms",DL10,First Owner,1198 cc,Manual,2017,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Adjustable Head Lights', 'Fog Lights Rear', 'Anti Lock Braking System', 'Centeral Locking')","('Power Steering', 'Power Windows Front', 'Air Quality Control', 'Remote Trunk Opener', 'Remote Fuel Lid Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Vanity Mirror', 'Rear Seat Headrest', 'Cup Holders Front', 'Gear Shift Indicator', 'Lane Change Indicator')","('Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Digital Clock', 'Height Adjustable Driver Seat')","('Adjustable Head Lights', 'Fog Lights Rear', 'Manually Adjustable Exterior Rear View Mirror', 'Wheel Covers', 'Power Antenna', 'Tinted Glass', 'Rear Spoiler', 'Outside Rear View Mirror Turn Indicators', 'Chrome Grille', 'Smoke Headlamps')","('Anti Lock Braking System', 'Centeral Locking', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Side Impact Beams', 'Front Impact Beams', 'Adjustable Seats', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Engine Check Warning', 'Crash Sensor', 'Anti Theft Device')",18.78 kmpl,1198 CC,74bhp,110Nm,,5,Grey,MPI Petrol Engine,1198,74bhp@5400rpm,110Nm@3000-4300rpm,3.0,4.0,DOHC,MPFI,74.5 x 76.4,10.5:1,No,No,3971mm,1682mm,1469mm,2469mm,1460mm,1456mm,1015Kg,1500Kg,5 Speed,FWD,5,Power,4.97 metres,Disc,Drum,165 kmph,14.2 Seconds,"Tubeless,Radial",5,280-liters,delhi
0,Cng,Hatchback,"7,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10 Nios,2022,10098,Magna CNG,₹ 7.25 Lakh,,,,Trending Car!,High chances of sale in next 6 days,Feb 2022,Comprehensive,CNG,5 Seats,"7,000 Kms",DL3C,First Owner,1197 cc,Manual,2022,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Power Adjustable Exterior Rear View Mirror', 'Wheel Covers', 'Anti Lock Braking System', 'Centeral Locking', 'Radio')","('Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Vanity Mirror', 'Rear Seat Headrest', 'Multifunction Steering Wheel', 'Rear ACVents', 'Tailgate Ajar', 'Gear Shift Indicator', 'Battery Saver', 'Adjustable Headrest')","('Air Conditioner', 'Heater', 'Tachometer', 'Electronic Multi Tripmeter', 'Glove Compartment', 'Height Adjustable Driver Seat')","('Power Adjustable Exterior Rear View Mirror', 'Wheel Covers', 'Integrated Antenna', 'LEDDRLs', 'LEDTaillights')","('Anti Lock Braking System', 'Centeral Locking', 'Anti Theft Alarm', 'Driver Air Bag', 'Passenger Air Bag', 'Side Air Bag Front', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Keyless Entry', 'Engine Immobilizer', 'Tyre Pressure Monitor', 'Ebd', 'Speed Sensing Auto Door Lock', 'Impact Sensing Auto Door Lock', 'Speed Alert', 'No Of Airbags')",,1197 CC,67.72bhp,95.2Nm,,5,White,1.2 Bi-Fuel,1197,67.72bhp@6000rpm,95.2Nm@4000rpm,4.0,4.0,,,,,,,3815mm,1680mm,1520mm,2450mm,,,940,,5-Speed,,5,Electric,,Disc,Drum,,,"Tubeless, Radial",4,,delhi
0,Petrol,Hatchback,"67,823",Manual,1,1st Owner,Maruti,Maruti Baleno,2019,6776,Alpha,₹ 6.63 Lakh,,,,Trending Car!,High chances of sale in next 6 days,Nov 2019,Third Party insurance,Petrol,5 Seats,"67,823 Kms",UP16,First Owner,1197 cc,Manual,2019,"('Power Steering', 'Power Windows Front', 'Air Conditioner', 'Heater', 'Adjustable Head Lights', 'Fog Lights Front', 'Anti Lock Braking System', 'Centeral Locking', 'Radio')","('Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Trunk Light', 'Vanity Mirror', 'Rear Seat Headrest', 'Cup Holders Front', 'Multifunction Steering Wheel', 'Navigation System', 'Smart Access Card Entry', 'Engine Start Stop Button', 'Voice Control', 'Adjustable Headrest', 'Power Boot')","('Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Leather Steering Wheel', 'Glove Compartment', 'Digital Clock', 'Outside Temperature Display', 'Height Adjustable Driver Seat')","('Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Electric Folding Rear View Mirror', 'Rear Window Wiper', 'Rear Window Washer', 'Rear Window Defogger', 'Alloy Wheels', 'Power Antenna', 'Rear Spoiler', 'Outside Rear View Mirror Turn Indicators', 'Chrome Grille', 'LEDDRLs', 'LEDHeadlights', 'LEDTaillights', 'Projector Headlamps')","('Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Side Impact Beams', 'Front Impact Beams', 'Adjustable Seats', 'Keyless Entry', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Engine Check Warning', 'Crash Sensor', 'Automatic Head Lamps', 'Ebd', 'Follow Me Home Headlamps', 'Rear Camera', 'Anti Theft Device', 'Anti Pinch Power Windows', 'Speed Sensing Auto Door Lock', 'Isofix Child Seat Mounts', 'Pretensioners And Force Limiter Seatbelts', 'Speed Alert', 'No Of Airbags')",21.01 kmpl,1197 CC,81.80bhp,113Nm,R16,5,White,1.2L VVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,865-890,1340kg,5 Speed,FWD,5,Electric,4.9,Disc,Drum,,12.36 seconds,"Tubeless,Radial",5,339-litres,delhi
